latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
65.56567,22.21972,320.16,0.55,0.42,2023-07-15,0031,N,VIIRS,n,2,287.02,3.39,N,3
65.56178,22.21786,326.72,0.55,0.42,2023-07-15,0031,N,VIIRS,n,2,286.16,3.39,N,3
65.56417,22.21363,324.54,0.55,0.42,2023-07-15,0031,N,VIIRS,n,2,287.24,3.51,N,3
65.56317,22.22541,326.52,0.55,0.42,2023-07-15,0031,N,VIIRS,n,2,287.12,3.51,N,2
64.6464,24.4271,309.4,0.47,0.4,2023-07-15,0031,N,VIIRS,n,2,281.48,1.99,N,2
64.66541,21.2768,312.88,0.56,0.43,2023-07-15,0031,N,VIIRS,n,2,286.03,2.97,N,3
64.66367,21.28204,321.3,0.56,0.43,2023-07-15,0031,N,VIIRS,n,2,286.98,3.95,N,3
60.52256,28.12964,325.81,0.39,0.36,2023-07-15,0032,N,VIIRS,n,2,277,1.28,N,0
59.71063,28.43841,298.48,0.38,0.36,2023-07-15,0032,N,VIIRS,n,2,282.64,1.51,N,0
60.85615,1.46193,329.55,0.73,0.76,2023-07-15,0032,N,VIIRS,n,2,279.71,5.23,N,3
60.28745,22.28789,311.41,0.47,0.39,2023-07-15,0032,N,VIIRS,n,2,286.26,1.78,N,2
59.38656,28.46277,305.47,0.38,0.36,2023-07-15,0032,N,VIIRS,n,2,285.25,0.91,N,2
59.38336,28.46079,297.29,0.38,0.36,2023-07-15,0032,N,VIIRS,n,2,284.26,0.67,N,2
60.81075,5.01217,295.44,0.56,0.69,2023-07-15,0033,N,VIIRS,n,2,280.41,1.32,N,0
60.48902,15.44652,299.76,0.5,0.49,2023-07-15,0033,N,VIIRS,n,2,281.53,1.54,N,0
59.11319,28.19595,297.03,0.38,0.36,2023-07-15,0033,N,VIIRS,n,2,284.17,0.43,N,0
54.44577,45.8699,306.76,0.49,0.65,2023-07-15,0033,N,VIIRS,n,2,280.38,1.53,N,2
54.44406,45.87126,304.32,0.49,0.65,2023-07-15,0033,N,VIIRS,n,2,280.03,1.06,N,2
58.68324,17.1322,300.31,0.42,0.45,2023-07-15,0033,N,VIIRS,n,2,285.48,0.79,N,2
58.67959,17.12379,308.22,0.42,0.45,2023-07-15,0033,N,VIIRS,n,2,284.85,1.32,N,2
58.67486,17.12997,297.33,0.42,0.45,2023-07-15,0033,N,VIIRS,n,2,285.71,0.56,N,2
58.67068,17.12885,295.4,0.42,0.45,2023-07-15,0033,N,VIIRS,n,2,284.98,0.56,N,0
58.67015,17.13606,295.57,0.42,0.45,2023-07-15,0033,N,VIIRS,n,2,284.5,0.56,N,3
57.3178,28.321,297.21,0.39,0.36,2023-07-15,0033,N,VIIRS,n,2,283.67,1.41,N,0
57.31564,28.31287,308.98,0.39,0.36,2023-07-15,0033,N,VIIRS,n,2,284.47,1.75,N,0
57.31458,28.31912,317.39,0.39,0.36,2023-07-15,0033,N,VIIRS,n,2,286.02,1.41,N,0
57.31242,28.311,298.31,0.39,0.36,2023-07-15,0033,N,VIIRS,n,2,281.55,0.62,N,0
57.71153,18.80709,298.24,0.54,0.42,2023-07-15,0033,N,VIIRS,n,2,287.58,0.97,N,2
57.70765,18.80586,297.98,0.54,0.42,2023-07-15,0033,N,VIIRS,n,2,285.71,0.97,N,2
57.70947,18.80065,307.29,0.54,0.42,2023-07-15,0033,N,VIIRS,n,2,286.04,1.18,N,2
55.50365,28.58476,300.76,0.4,0.37,2023-07-15,0034,N,VIIRS,n,2,284.56,0.6,N,0
56.31468,22.91765,297.25,0.41,0.37,2023-07-15,0034,N,VIIRS,n,2,284.56,0.49,N,0
54.3865,33.51261,327.08,0.55,0.43,2023-07-15,0034,N,VIIRS,n,2,280.08,6.65,N,0
54.38461,33.52063,322.82,0.55,0.43,2023-07-15,0034,N,VIIRS,n,2,280.17,6.65,N,0
54.38654,33.51513,331.56,0.55,0.43,2023-07-15,0034,N,VIIRS,n,2,281.35,11.48,N,0
52.56557,39.69858,307.64,0.35,0.57,2023-07-15,0034,N,VIIRS,n,2,282.81,0.74,N,2
52.56414,39.70327,299.84,0.35,0.57,2023-07-15,0034,N,VIIRS,n,2,282.8,0.74,N,2
52.56072,39.61788,299.66,0.35,0.56,2023-07-15,0034,N,VIIRS,n,2,282.98,1.32,N,2
52.55928,39.62258,314.27,0.35,0.56,2023-07-15,0034,N,VIIRS,n,2,284.08,1.31,N,2
52.55601,39.61399,350.28,0.35,0.56,2023-07-15,0034,N,VIIRS,n,2,283.79,6.4,N,2
52.54735,39.64217,323.92,0.35,0.56,2023-07-15,0034,N,VIIRS,n,2,275.44,0.81,N,2
52.5488,39.63744,300.33,0.35,0.56,2023-07-15,0034,N,VIIRS,n,2,277.35,0.81,N,2
52.54408,39.63355,295.43,0.35,0.56,2023-07-15,0034,N,VIIRS,n,2,271.08,0.81,N,2
52.55659,39.5736,350.22,0.34,0.56,2023-07-15,0034,N,VIIRS,n,2,283.38,5,N,2
52.55799,39.56905,315.21,0.34,0.56,2023-07-15,0034,N,VIIRS,n,2,275.64,4.65,N,2
52.54367,39.61566,298.33,0.35,0.56,2023-07-15,0034,N,VIIRS,n,2,278.72,1.45,N,2
52.53936,39.62967,312.22,0.35,0.56,2023-07-15,0034,N,VIIRS,n,2,269.68,1.32,N,2
53.44281,34.41736,319.12,0.42,0.45,2023-07-15,0034,N,VIIRS,n,2,286.26,2.46,N,2
