event_id,lat,lon,dt,frp,event_n
2021-06-01_0,36.45784,44.46791,2021-06-01 09:39:00+00:00,5.37,2
2021-06-01_1,36.94468,44.47658,2021-06-01 09:39:00+00:00,15.73,7
2021-06-01_10,36.83608,35.09169,2021-06-01 11:20:00+00:00,12.01,2
2021-06-01_11,37.09167,36.25814,2021-06-01 11:20:00+00:00,5.84,3
2021-06-01_12,37.15652,35.9394,2021-06-01 11:20:00+00:00,7.94,2
2021-06-01_13,37.77833,38.31229,2021-06-01 11:20:00+00:00,11.42,3
2021-06-01_14,36.42744,36.36547,2021-06-01 11:20:00+00:00,5.14,2
2021-06-01_15,42.00872,12.28887,2021-06-01 11:23:00+00:00,8.24,2
2021-06-01_16,52.73572,34.24953,2021-06-01 11:25:00+00:00,7.52,2
2021-06-01_17,59.37859,15.94898,2021-06-01 11:27:00+00:00,19.27,2
2021-06-01_18,61.3922,15.14987,2021-06-01 10:37:00+00:00,58.13,7
2021-06-01_19,62.95814,17.1442,2021-06-01 11:28:00+00:00,10.98,5
2021-06-01_2,37.07996,43.92697,2021-06-01 09:39:00+00:00,13.28,3
2021-06-01_20,63.66195,17.20984,2021-06-01 10:37:00+00:00,18.0,3
2021-06-01_21,51.31448,5.7335,2021-06-01 12:15:00+00:00,61.39,3
2021-06-01_22,53.00181,-3.24191,2021-06-01 13:07:00+00:00,11.81,3
2021-06-01_23,37.07887,43.90354,2021-06-01 10:29:00+00:00,12.19,4
2021-06-01_24,44.20018,46.70221,2021-06-01 10:31:00+00:00,5.66,3
2021-06-01_25,58.44516,42.94778,2021-06-01 10:35:00+00:00,7.46,2
2021-06-01_26,48.42236,13.35936,2021-06-01 12:14:00+00:00,9.57,4
2021-06-01_27,52.01615,5.21419,2021-06-01 12:15:00+00:00,7.88,2
2021-06-01_3,37.08353,43.88426,2021-06-01 09:39:00+00:00,6.29,3
2021-06-01_4,37.21534,44.39451,2021-06-01 08:49:00+00:00,7.63,20
2021-06-01_5,37.19021,38.25991,2021-06-01 09:40:00+00:00,7.91,2
2021-06-01_6,37.18624,35.56552,2021-06-01 09:40:00+00:00,7.7,2
2021-06-01_7,37.15662,36.07814,2021-06-01 09:40:00+00:00,13.15,2
2021-06-01_8,57.78637,43.21426,2021-06-01 08:54:00+00:00,13.78,4
2021-06-01_9,55.93546,38.1217,2021-06-01 08:54:00+00:00,9.18,4
2021-06-02_0,37.21182,44.3849,2021-06-02 09:21:00+00:00,9.28,10
2021-06-02_1,37.09946,43.8327,2021-06-02 09:21:00+00:00,10.43,8
2021-06-02_10,39.83131,18.31974,2021-06-02 11:03:00+00:00,7.54,2
2021-06-02_11,40.53529,17.36911,2021-06-02 11:03:00+00:00,7.14,2
2021-06-02_12,41.07058,16.87768,2021-06-02 11:03:00+00:00,5.88,2
2021-06-02_13,53.6954,38.96467,2021-06-02 08:35:00+00:00,6.02,5
2021-06-02_14,62.15966,15.38594,2021-06-02 11:09:00+00:00,11.02,4
2021-06-02_15,36.83367,9.87157,2021-06-02 11:52:00+00:00,5.71,3
2021-06-02_16,42.71994,13.95425,2021-06-02 12:44:00+00:00,9.12,2
2021-06-02_17,39.62198,-7.46072,2021-06-02 14:25:00+00:00,12.08,3
2021-06-02_18,37.03114,44.67784,2021-06-02 10:10:00+00:00,6.45,2
2021-06-02_19,36.87833,35.14336,2021-06-02 10:10:00+00:00,38.3,4
2021-06-02_2,37.24663,43.33609,2021-06-02 09:21:00+00:00,20.48,6
2021-06-02_20,36.9659,35.37317,2021-06-02 10:10:00+00:00,12.84,3
2021-06-02_21,38.04443,41.01598,2021-06-02 10:10:00+00:00,10.46,3
2021-06-02_22,38.06216,41.02609,2021-06-02 10:10:00+00:00,83.68,3
2021-06-02_23,54.1241,39.47497,2021-06-02 10:15:00+00:00,17.96,2
2021-06-02_24,38.07421,23.32083,2021-06-02 11:52:00+00:00,9.04,2
2021-06-02_25,41.07124,15.72066,2021-06-02 11:53:00+00:00,6.88,2
2021-06-02_3,39.25672,46.8477,2021-06-02 09:21:00+00:00,11.09,21
2021-06-02_4,38.0252,41.00572,2021-06-02 09:21:00+00:00,15.06,5
2021-06-02_5,36.54887,37.01455,2021-06-02 10:10:00+00:00,6.82,5
2021-06-02_6,36.82663,39.5153,2021-06-02 11:01:00+00:00,13.26,2
2021-06-02_7,37.17323,43.73835,2021-06-02 11:01:00+00:00,6.14,4
2021-06-02_8,37.42038,14.99847,2021-06-02 11:03:00+00:00,8.15,4
2021-06-02_9,38.32839,15.95976,2021-06-02 11:03:00+00:00,5.68,2
2021-06-03_0,35.89107,45.55664,2021-06-03 09:02:00+00:00,21.16,11
2021-06-03_1,36.88322,43.34312,2021-06-03 09:02:00+00:00,6.56,6
2021-06-03_10,36.52718,36.49799,2021-06-03 10:42:00+00:00,20.18,2
2021-06-03_11,39.29609,47.06649,2021-06-03 09:52:00+00:00,10.35,18
2021-06-03_12,39.50416,47.10358,2021-06-03 09:52:00+00:00,6.82,9
2021-06-03_13,39.92601,18.1378,2021-06-03 10:44:00+00:00,9.49,5
2021-06-03_14,48.58413,21.1876,2021-06-03 10:46:00+00:00,5.56,2
2021-06-03_15,60.37246,5.02682,2021-06-03 10:50:00+00:00,7.25,11
2021-06-03_16,39.54569,9.20991,2021-06-03 11:34:00+00:00,62.67,3
2021-06-03_17,40.94982,19.59705,2021-06-03 11:34:00+00:00,22.58,2
2021-06-03_18,37.31723,-6.77441,2021-06-03 12:25:00+00:00,79.24,5
2021-06-03_19,51.82678,1.09608,2021-06-03 12:28:00+00:00,5.67,2
2021-06-03_2,37.20118,44.34861,2021-06-03 09:02:00+00:00,9.67,5
2021-06-03_20,67.87119,19.22899,2021-06-03 12:33:00+00:00,10.23,2
2021-06-03_21,39.15896,-7.65343,2021-06-03 14:06:00+00:00,24.24,2
2021-06-03_22,54.05534,44.95427,2021-06-03 08:16:00+00:00,13.8,2
2021-06-03_23,56.28725,48.22048,2021-06-03 08:16:00+00:00,9.29,2
2021-06-03_24,36.2807,36.40541,2021-06-03 09:51:00+00:00,13.2,5
2021-06-03_25,36.32842,33.98137,2021-06-03 09:52:00+00:00,5.14,3
2021-06-03_26,39.76007,47.21198,2021-06-03 09:52:00+00:00,13.15,2
2021-06-03_27,39.32561,40.65163,2021-06-03 09:52:00+00:00,8.83,2
2021-06-03_28,63.76189,17.04918,2021-06-03 10:00:00+00:00,5.74,3
2021-06-03_29,36.83312,34.99902,2021-06-03 11:32:00+00:00,15.47,2
2021-06-03_3,37.09947,43.86031,2021-06-03 09:02:00+00:00,29.08,10
2021-06-03_30,36.85406,35.20767,2021-06-03 11:32:00+00:00,6.68,2
2021-06-03_31,36.95135,35.8857,2021-06-03 11:32:00+00:00,12.03,2
2021-06-03_32,37.10941,38.27153,2021-06-03 11:32:00+00:00,9.28,3
